LON,LAT,DTG
-59.32159724,-45.41908811,2021-01-12T00:00:29
-59.76291496,-45.59380878,2021-01-12T00:00:29
-59.6896095,-45.89995402,2021-01-12T00:00:29
-60.59391397,-45.78972441,2020-12-18T00:00:29
-60.5235072,-45.89069436,2020-12-18T00:00:29
-60.67900325,-45.71022816,2020-12-18T00:00:29
-60.67024018,-45.7279947,2020-12-18T00:00:29
-60.68411238,-45.72855451,2020-12-18T00:00:29
-60.68474157,-45.77556801,2020-12-18T00:00:29
-60.69766769,-45.8092284,2020-12-18T00:00:29
-60.61487631,-45.84321608,2020-12-18T00:00:29
-60.58363851,-45.9168939,2020-12-18T00:00:29
-60.46305277,-45.93426471,2020-12-18T00:00:29
-60.64175313,-45.89296098,2020-12-18T00:00:29
-60.60381011,-46.18283268,2020-12-18T00:00:29
-60.68262617,-46.25469181,2020-12-18T00:00:29
-60.71334908,-46.2669825,2020-12-18T00:00:29
-60.66561938,-46.2771654,2020-12-18T00:00:29
-60.70697004,-46.30224401,2020-12-18T00:00:29
-60.01817565,-46.44288188,2020-12-18T00:00:29
-60.84634158,-46.5928828,2020-12-18T00:00:29
-60.84490262,-46.60034418,2020-12-18T00:00:29
